economy,iso3c,year,region,subregion,population,independent,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,n_domains_used,n_indicators_selected,observed_indicator_points,expected_indicator_points_year,coverage_ratio,DCLO_score_confidence_weighted,model_trust_tier
Afghanistan,AFG,2014,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,-0.40721357672417496,0.124620898011727,-0.5142441015276739,-0.6302978647652852,-0.0993392202650843,-1.0650015189973094,-0.43191256404463346,6,17,14,17,0.8235294117647058,-0.43191256404463346,High
Africa Eastern and Southern,AFE,2014,Aggregates,,,,-0.3355484640429068,-0.04870713885726008,-0.5717456947506367,-0.27605882037824064,-0.22879197897908013,-0.9876484089922511,-0.40808341766672923,6,17,16,17,0.9411764705882353,-0.40808341766672923,High
Africa Western and Central,AFW,2014,Aggregates,,,,-0.2048094041175901,-0.13578165112128202,-0.6592002617411613,0.10170226648417426,-0.0636738068696307,-1.0970170106672479,-0.34312997800545625,6,17,14,17,0.8235294117647058,-0.34312997800545625,High
Albania,ALB,2014,Europe & Central Asia,Europe & Central Asia (excluding high income),,,0.3074543248223776,0.7901200845215212,0.09163891727228508,0.9485606294082954,-0.061616169112238106,-0.9210854552657651,0.1925120552744127,6,17,16,17,0.9411764705882353,0.1925120552744127,High
Algeria,DZA,2014,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,0.09973462261143817,0.524927822701115,0.027477454306337596,-0.051302521956755144,-0.24896530843020787,-0.9305034638091244,-0.0964385657628661,6,17,14,17,0.8235294117647058,-0.0964385657628661,High
American Samoa,ASM,2014,East Asia & Pacific,,,,0.18333303745660964,0.5444236536007291,-0.12360314203967833,1.4873449145805842,0.7342018594179653,-0.8373508628935765,0.3313915766871056,6,17,7,17,0.4117647058823529,0.3313915766871056,Low
Andorra,AND,2014,Europe & Central Asia,,,,0.5442989836388019,0.3742397165548375,0.29067295243362423,1.49745729589001,-0.047914670374878676,-0.8601388384027686,0.29976923995660437,6,17,13,17,0.7647058823529411,0.29976923995660437,Medium
Angola,AGO,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.3427382835434596,0.42364689620294177,-0.3943072298546865,-0.21049512537608914,-0.14105813638548836,-0.9614321336716397,-0.27106400210473697,6,17,13,17,0.7647058823529411,-0.27106400210473697,Medium
Antigua and Barbuda,ATG,2014,Latin America & Caribbean ,,,,0.5454181062609534,0.6995639973399883,0.10532109697870917,1.3896143052996088,0.5408822894438465,-0.867807136526174,0.40216544313282204,6,17,12,17,0.7058823529411765,0.40216544313282204,Medium
Arab World,ARB,2014,Aggregates,,,,0.1491715571975485,0.262512443573714,-0.08439913835545687,0.5553500418011362,0.009839582592057305,-1.0602709890004876,-0.02796608369858139,6,17,14,17,0.8235294117647058,-0.02796608369858139,High
Argentina,ARG,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.589597088416764,0.9044374522279292,0.036728437928271594,1.2235482501052226,-0.5688957654748124,-0.9011166768255165,0.21404979772964303,6,17,15,17,0.8823529411764706,0.21404979772964303,High
Armenia,ARM,2014,Europe & Central Asia,Europe & Central Asia (excluding high income),,,0.3398163266238641,0.5730315811329131,0.11385237621019983,0.8200971434492811,-0.0540069424556856,-1.0010304599569715,0.1319600041672668,6,17,15,17,0.8823529411764706,0.1319600041672668,High
Aruba,ABW,2014,Latin America & Caribbean ,,,,0.6855958559888449,0.4102877117575649,-0.10747032913801291,1.3896143052996088,0.6716071056894835,-0.944715079995205,0.3508199282670473,6,17,9,17,0.5294117647058824,0.3508199282670473,Low
