indicator_a,indicator_b,correlation
WB_EG.CFT.ACCS.ZS,WB_IT.NET.USER.ZS,0.979691583782951
WB_SE.ADT.LITR.ZS,WB_SL.TLF.CACT.ZS,0.9708056232184894
WB_SE.ADT.LITR.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.970756776827574
WB_SE.ADT.LITR.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.9484528367474823
WB_AG.LND.AGRI.ZS,WB_SE.ADT.LITR.ZS,0.9325967534923715
WB_SE.ADT.LITR.ZS,WB_SP.POP.GROW,0.9220330933182461
WB_CC.PER.RNK,WB_EG.CFT.ACCS.ZS,0.9076855891020784
WB_IT.CEL.SETS.P2,WB_SE.ADT.LITR.ZS,0.8893159124246627
WB_CC.PER.RNK,WB_PV.PER.RNK,0.8876528664612313
WB_EG.CFT.ACCS.ZS,WB_SE.ADT.LITR.ZS,0.8747043806096864
WTO_SERVICES_TOTAL_EXPORTS,WTO_SERVICES_TRANSPORT_EXPORTS,0.8731592797955805
WB_CC.PER.RNK,WB_IT.NET.USER.ZS,0.8541814888835083
WB_IT.CEL.SETS.P2,WB_SL.TLF.CACT.ZS,0.8168967281124614
WB_NE.TRD.GNFS.ZS,WB_PV.PER.RNK,0.8077206851563195
WB_PV.PER.RNK,WB_SE.ADT.LITR.ZS,0.8035305521543008
WB_IT.NET.USER.ZS,WB_SE.ADT.LITR.ZS,0.8022923787699221
WB_IT.CEL.SETS.P2,WB_IT.NET.USER.ZS,0.7975932057462737
WB_EG.CFT.ACCS.ZS,WB_PV.PER.RNK,0.7941733487075474
WTO_SERVICES_POSTAL_COURIER_EXPORTS,WTO_SERVICES_TOTAL_EXPORTS,0.7932201208858763
WB_IT.NET.SECR.P6,WB_SE.ADT.LITR.ZS,0.7801659999981058
WB_SE.ADT.LITR.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.7765676777749572
WB_EG.CFT.ACCS.ZS,WB_IT.CEL.SETS.P2,0.7650765402222639
WB_CC.PER.RNK,WB_SE.ADT.LITR.ZS,0.7630113849483832
WB_IT.NET.USER.ZS,WB_PV.PER.RNK,0.7427835197971638
WB_IT.CEL.SETS.P2,WB_PV.PER.RNK,0.7424137397051197
WTO_SERVICES_POSTAL_COURIER_EXPORTS,WTO_SERVICES_TRANSPORT_EXPORTS,0.7379940619767742
WB_IT.NET.USER.ZS,WB_SL.UEM.TOTL.ZS,0.7122907677128976
WB_CC.PER.RNK,WB_IT.CEL.SETS.P2,0.676667566259999
WTO_SERVICES_TOTAL_EXPORTS,WTO_SERVICES_TRAVEL_EXPORTS,0.6742453184018213
WB_EG.CFT.ACCS.ZS,WB_SL.UEM.TOTL.ZS,0.6739368430757927
WB_AG.LND.AGRI.ZS,WTO_SERVICES_TRAVEL_EXPORTS,-0.6639739682927861
WB_AG.LND.AGRI.ZS,WTO_SERVICES_TOTAL_EXPORTS,-0.6633404940483857
WB_SP.POP.GROW,WTO_SERVICES_TRANSPORT_EXPORTS,0.6622279459892161
WB_EG.CFT.ACCS.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.6434043715306371
WB_IT.NET.USER.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.6329024926351176
WB_PV.PER.RNK,WB_SL.TLF.CACT.ZS,0.6258837306264678
WB_EG.CFT.ACCS.ZS,WB_SL.TLF.CACT.ZS,0.6179457145264445
WB_CC.PER.RNK,WB_NY.GDP.PCAP.KD.ZG,-0.6174628181978735
WB_IT.NET.USER.ZS,WB_SL.TLF.CACT.ZS,0.6136410051649851
WTO_SERVICES_TRANSPORT_EXPORTS,WTO_SERVICES_TRAVEL_EXPORTS,0.6038699924808024
WB_SE.ADT.LITR.ZS,WB_SL.UEM.TOTL.ZS,0.5947142493477143
WB_IT.CEL.SETS.P2,WB_SL.UEM.TOTL.ZS,0.5835499089798195
WB_IT.CEL.SETS.P2,WB_NE.TRD.GNFS.ZS,0.577884895295961
WB_SL.TLF.CACT.ZS,WB_SL.UEM.TOTL.ZS,0.5673649477466612
WB_SP.POP.GROW,WTO_SERVICES_TOTAL_EXPORTS,0.5622629230869621
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.5604058092256617
WB_CC.PER.RNK,WB_NE.TRD.GNFS.ZS,0.5558257750193613
WB_AG.LND.AGRI.ZS,WTO_SERVICES_POSTAL_COURIER_EXPORTS,-0.554553409408092
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_TRANSPORT_EXPORTS,0.5544384052797791
WB_SL.UEM.TOTL.ZS,WTO_SERVICES_TOTAL_EXPORTS,0.5529997105231821
WTO_SERVICES_POSTAL_COURIER_EXPORTS,WTO_SERVICES_TRAVEL_EXPORTS,0.5526872359205186
WB_NY.GDP.PCAP.KD.ZG,WB_PV.PER.RNK,-0.5501540076105317
WB_EG.CFT.ACCS.ZS,WB_IT.NET.SECR.P6,0.5451120972439605
WB_CC.PER.RNK,WB_IT.NET.SECR.P6,0.5442969284998094
WB_NE.TRD.GNFS.ZS,WB_SE.ADT.LITR.ZS,-0.542070814836435
WB_EG.CFT.ACCS.ZS,WB_NY.GDP.PCAP.KD.ZG,-0.542058435942217
WB_IT.CEL.SETS.P2,WTO_SERVICES_POSTAL_COURIER_EXPORTS,0.5337858940338015
