year,economy,mean_rank,sd_rank,top_k_freq
2014,Argentina,41.0,0.0,0.0
2014,Australia,12.0,0.0,1.0
2014,Austria,15.0,0.0,1.0
2014,Bangladesh,47.0,0.0,0.0
2014,Belgium,13.0,0.0,1.0
2014,Brazil,29.0,0.0,0.0
2014,Canada,11.0,0.0,1.0
2014,Chile,40.0,0.0,0.0
2014,China,4.0,0.0,1.0
2014,Colombia,42.0,0.0,0.0
2014,Czech Republic,31.0,0.0,0.0
2014,Denmark,16.0,0.0,1.0
2014,Egypt,30.0,0.0,0.0
2014,Finland,32.0,0.0,0.0
2014,France,3.0,0.0,1.0
2014,Germany,1.0,0.0,1.0
2014,Greece,23.0,0.0,0.0
2014,India,17.0,0.0,1.0
2014,Indonesia,33.0,0.0,0.0
2014,Iraq,46.0,0.0,0.0
2014,Ireland,19.0,0.0,1.0
2014,Israel,34.0,0.0,0.0
2014,Italy,7.0,0.0,1.0
2014,Japan,9.0,0.0,1.0
2014,Malaysia,28.0,0.0,0.0
2014,Mexico,26.0,0.0,0.0
2014,Netherlands,5.0,0.0,1.0
2014,New Zealand,35.0,0.0,0.0
2014,Nigeria,45.0,0.0,0.0
2014,Norway,24.0,0.0,0.0
2014,Pakistan,44.0,0.0,0.0
2014,Peru,43.0,0.0,0.0
2014,Philippines,39.0,0.0,0.0
2014,Poland,25.0,0.0,0.0
2014,Portugal,27.0,0.0,0.0
2014,Romania,36.0,0.0,0.0
2014,Russian Federation,21.0,0.0,0.0
2014,Singapore,8.0,0.0,1.0
2014,South Africa,37.0,0.0,0.0
2014,Spain,6.0,0.0,1.0
2014,Sweden,22.0,0.0,0.0
2014,Switzerland,10.0,0.0,1.0
2014,Thailand,20.0,0.0,1.0
2014,Türkiye,14.0,0.0,1.0
2014,United Arab Emirates,18.0,0.0,1.0
2014,United Kingdom,2.0,0.0,1.0
2014,Viet Nam,38.0,0.0,0.0
2015,Argentina,41.144,0.36303052854909407,0.0
2015,Australia,11.388,0.8344105487440947,1.0
2015,Austria,14.16,0.6450304310868694,1.0
2015,Bangladesh,47.284,0.4518413909440806,0.0
2015,Belgium,12.436,0.8201185143075602,1.0
2015,Brazil,28.976,0.23589528682316138,0.0
2015,Canada,10.276,0.8406251259685492,1.0
2015,Chile,40.14,0.35904827342657253,0.0
2015,China,16.212,6.530670303917808,0.716
2015,Colombia,43.172,0.3781374773904712,0.0
2015,Czech Republic,31.016,0.2189423279585008,0.0
2015,Denmark,17.52,0.5241171578766743,1.0
2015,Egypt,30.008,0.23698236763582464,0.0
2015,Finland,34.036,0.24277512029889814,0.0
2015,France,2.004,0.0632455532033675,1.0
2015,Germany,1.0,0.0,1.0
2015,Greece,21.772,0.4203842189786206,0.0
2015,India,45.6,4.756732704714065,0.0
2015,Indonesia,32.028,0.22676350400138826,0.0
2015,Iraq,46.284,0.4518413909440806,0.0
2015,Ireland,16.512,0.5243623015560647,1.0
2015,Israel,33.028,0.22676350400138826,0.0
2015,Italy,8.416,0.690544282159001,1.0
2015,Japan,6.016,0.6583903945582639,1.0
2015,Malaysia,27.968,0.2349399649880675,0.0
2015,Mexico,23.856,0.3517940251689588,0.0
2015,Netherlands,3.136,0.34347620531043743,1.0
2015,New Zealand,35.06,0.2841177424348312,0.0
2015,Nigeria,45.264,0.4416835262372807,0.0
2015,Norway,25.876,0.3421876232097118,0.0
2015,Pakistan,44.264,0.4416835262372807,0.0
2015,Peru,42.172,0.3781374773904712,0.0
2015,Philippines,36.08,0.28623017109203125,0.0
2015,Poland,24.876,0.3421876232097118,0.0
2015,Portugal,26.948,0.23984600146275256,0.0
2015,Romania,37.08,0.28623017109203125,0.0
2015,Russian Federation,22.78,0.41507728994309767,0.0
2015,Singapore,7.296,0.6886807130288983,1.0
2015,South Africa,38.092,0.3031560892639823,0.0
2015,Spain,4.8,0.6400301197731773,1.0
2015,Sweden,20.684,0.4658455196658772,0.316
2015,Switzerland,5.64,1.7580566123446753,1.0
2015,Thailand,19.596,0.49978308547821093,1.0
2015,Türkiye,15.212,0.6265991589717437,1.0
2015,United Arab Emirates,18.588,0.5012594579423986,1.0
2015,United Kingdom,7.916,3.7045700637765937,1.0
2015,United States,13.292,3.029761346255022,0.968
2015,Viet Nam,39.096,0.3084876960829043,0.0
