state_name,year,ECO_prop_hh_microfin,OUT_hh_income_monthly,OUT_prop_saving,ACC_pop_hh_elec,SKL_fem_literacy,SRV_pop_hh_sf,AGR_fem_15_24_hyg_period,NAT_upi_total_vol,NAT_upi_total_val,NAT_upi_p2p_vol,NAT_upi_p2m_vol,NAT_ib_no_of_transactions,NAT_ib_amt_of_transactions,NAT_ib_active_users,AGR_shg_member_scale,Z_ACC_pop_hh_elec,Z_SKL_fem_literacy,Z_SRV_pop_hh_sf,Z_AGR_fem_15_24_hyg_period,Z_AGR_shg_member_scale,Z_ECO_prop_hh_microfin,Z_OUT_hh_income_monthly,Z_OUT_prop_saving,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,CTX_dpi_composite_v2,CTX_dpi_confidence_score,CTX_coverage_ratio,CTX_imputation_share,Z_CTX_dpi_composite_v2,DCLO_score_context_adjusted
Andaman And Nicobar Islands,2014,18.5,8909.0,61.0,97.03333333333335,0.0,73.4,91.0,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,1645436.5,0.3119002080687632,-1.1896346034301803,0.44140633293122644,1.1004986114240844,-0.35213844094386393,-0.11178352909355611,-0.17283681365393289,0.06422942010550849,0.3119002080687632,-1.1896346034301803,0.44140633293122644,0.37418008524011026,-0.11178352909355611,-0.0543036967742122,-0.03803920050964146,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.10961367991272365
Andhra Pradesh,2014,29.0,6860.0,75.0,99.17692307692307,0.0,53.13076923076923,67.67692307692307,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,8926813.0,0.7181093208166632,-1.1896346034301803,-0.7712359010118838,-0.38800227462510783,1.9625577437081765,0.8312108573623402,-1.1582990575706722,0.791334081256898,0.7181093208166632,-1.1896346034301803,-0.7712359010118838,0.7872777345415343,0.8312108573623402,-0.1834824881568871,0.03204082002026442,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.03953365938281777
Arunachal Pradesh,2014,31.0,15130.0,45.0,87.08181818181818,0.0,60.91818181818182,75.57272727272726,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,65182.0,-1.5739066037443614,-1.1896346034301803,-0.30534030269584184,0.11591543658805517,-0.8544897562383302,1.010828835734892,2.8191400625813214,-0.7667473354960795,-1.5739066037443614,-1.1896346034301803,-0.30534030269584184,-0.36928715982513755,1.010828835734892,1.026196363542621,-0.23352391173633466,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.30509839113941684
Assam,2014,18.0,10002.0,71.0,77.5142857142857,0.0,48.647619047619045,46.438095238095244,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,3675547.0,-2.875572575648607,-1.1896346034301803,-1.0394482133138578,-1.7434844076648148,0.2932187973162434,-0.15668802368669404,0.3528392393480174,0.583589892356501,-2.875572575648607,-1.1896346034301803,-1.0394482133138578,-0.7251328051742857,-0.15668802368669404,0.46821456585225923,-0.9197102759002278,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.99128475530331
Bihar,2014,27.0,5854.0,49.0,60.731578947368426,0.0,25.98157894736842,29.986842105263158,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,12192290.0,-2.875572575648607,-1.1896346034301803,-2.0922316686574343,-1.850639979768044,2.5766771002390634,0.6515928789897886,-1.4386916823649423,-0.5590031465956825,-2.875572575648607,-1.1896346034301803,-2.0922316686574343,0.3630185602355097,0.6515928789897886,-0.9988474144803123,-1.0236124704985394,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-1.0951869499016216
Chhattisgarh,2014,12.0,8560.0,81.0,93.72500000000001,0.0,30.416666666666668,44.475,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,2782646.0,-0.3150271935137514,-1.1896346034301803,-2.0922316686574343,-1.850639979768044,0.009372118330203906,-0.6955419588043491,-0.3406876302117377,1.1029503646074936,-0.3150271935137514,-1.1896346034301803,-2.0922316686574343,-0.92063393071892,-0.6955419588043491,0.381131367197878,-0.8053229979877928,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.876897477390875
Goa,2014,18.5,8909.0,61.0,99.85,0.0,78.19999999999999,89.1,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,46186.0,0.8263123014327509,-1.1896346034301803,0.7285747405139581,0.9792388096911848,-0.8605284453136239,-0.11178352909355611,-0.17283681365393289,0.06422942010550849,0.8263123014327509,-1.1896346034301803,0.7285747405139581,0.05935518218878044,-0.11178352909355611,-0.0543036967742122,0.04308673247292347,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.028487746930158722
Gujarat,2014,65.0,7811.0,62.0,94.58125,0.0,55.65625,55.7375,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,2660899.0,-0.15276827534598708,-1.1896346034301803,-0.6201445904117141,-1.1499875773161046,-0.029330360025754197,2.178345695156478,-0.7009176061481154,0.11616546733060773,-0.15276827534598708,-1.1896346034301803,-0.6201445904117141,-0.5896589686709294,2.178345695156478,-0.2923760694087538,-0.11103946868518115,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.18261394808826334
Haryana,2014,7.0,10518.0,45.0,98.825,0.0,80.625,78.88,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,580325.0,0.6514200855000977,-1.1896346034301803,0.8736546130948185,0.326988718264748,-0.6907295748151878,-1.1445869047357284,0.6010083549463764,-0.7667473354960795,0.6514200855000977,-1.1896346034301803,0.8736546130948185,-0.1818704282752199,-1.1445869047357284,-0.08286949027485158,-0.1789811213535107,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.2505556007565929
Himachal Pradesh,2014,14.0,8880.0,80.0,99.32000000000001,0.0,71.62,83.97,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,330554.0,0.7452223214043839,-1.1896346034301803,0.3349147151192963,0.6518373450123572,-0.7701299437889285,-0.5159239804317974,-0.1867843027088794,1.0510143173823943,0.7452223214043839,-1.1896346034301803,0.3349147151192963,-0.05914629938828564,-0.5159239804317974,0.43211500733675745,-0.04207547323163763,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.11364995263471982
